loan_index,present_value_yearly_default_classification
426,943188.7678980494
427,1092765.537987396
428,425615.3298005823
429,317370.7733392044
430,1014474.8570519913
431,673598.3566039664
432,415269.4630773032
433,930520.4315869584
434,1025982.086049356
435,646875.8882801019
436,280999.5533625597
437,699092.2735897488
438,274917.1215104405
439,294221.07258221845
440,121224.17065155045
441,781288.8034172418
442,132806.3006582261
443,235229.96770044803
444,326236.3011250288
445,523645.72291473974
446,607781.0187363507
447,340563.9217744265
448,1249698.8439095947
449,795783.2146505393
450,265878.66944824817
451,703463.1036609749
452,578035.2419007452
453,265965.5635504147
454,327728.54126970976
455,418090.6811484235
456,328317.79842367227
457,327889.97810771357
458,1432448.8588773739
459,713432.4772392521
460,648309.3942978161
461,388722.3752754944
462,162007.22507610664
463,295849.9786561887
464,998257.4496840583
465,1072367.0542219037
466,396904.82073431637
467,318290.63311900815
468,1134984.2372469439
469,159749.81305959457
470,504483.1099810468
471,969606.5575549691
472,753825.0169958118
473,680743.9704655557
474,276293.2251693514
475,944464.7974327999
476,409744.64524077874
477,824827.8325617488
478,357896.8282528175
479,181999.63211800795
480,531668.9537741323
481,398832.7913306758
482,288581.32036566327
483,461075.69903224136
484,927968.9753168935
485,639355.5874217785
486,180924.58369982953
487,1176323.8374196885
488,500036.87506212376
489,722287.5708986098
490,390826.59846944094
491,883122.9285440065
492,451016.5565021167
493,553063.4880106434
494,123398.67271483611
495,347279.89587812533
496,572554.6338659935
497,523465.3278761792
498,950579.1354158124
499,686676.1509078743
500,316821.71687191084
501,509743.5036449498
502,448904.01549847994
503,867838.4157634979
504,914648.2436826802
505,555096.0539092805
506,279427.71239628707
507,445808.51291001
508,854074.2507690117
509,230855.60104129248
510,443594.5925331616
511,551748.7076328178
512,211265.3595601249
513,179924.10723885396
514,523463.27557799086
515,290490.7565058879
516,349232.8029753706
517,149534.13195910788
518,928927.9622326217
519,152437.6752858716
520,371675.06153764547
521,1220319.1856126885
522,210418.21677481895
523,1085539.8900787157
524,767877.005368381
525,1046559.9196116825
526,434184.11725578253
527,747122.9664881612
528,744307.2026184639
529,708987.5882833357
530,1207850.0638572525
531,1420590.9959214623
532,709555.6154436778
533,581072.7554180472
534,816174.2641603032
535,498868.34656433144
536,288410.87340299715
537,744443.2486798634
538,908201.8057423618
539,747347.0651230088
540,281045.45254784316
541,164191.32412019343
542,523798.8625965239
543,905125.5919520399
544,433307.9818323647
545,808112.0127023763
546,94629.5408353444
547,1302895.902237668
548,382234.4669019072
549,473331.6515483298
550,426241.982120917
551,1129293.1279194169
552,725179.3824489148
553,410029.29186073004
554,775711.0346629781
555,1283816.7021929598
556,710868.2446384291
557,455662.0511438478
558,270693.89002893807
559,1180192.705965751
560,505965.64173742
561,266386.3604523657
562,645260.7956960689
563,366915.8787660801
564,2144273.7048094
565,201771.04379753952
566,622306.5485464088
567,530011.6303088274
568,895753.7468741812
569,1221107.1742730646
570,361833.9498593804
571,869503.4318075668
572,333755.0122544318
573,502182.3164479756
574,360919.6126149785
575,417003.61456036736
576,1258904.817640687
577,713195.6895744808
578,301127.12926815456
579,1182426.7191910609
580,199027.05319435356
581,748334.8503053996
582,1076754.4855256048
583,430295.1681263813
584,419675.535426224
585,350216.9365450594
586,1207867.6940626635
587,804624.8643048493
588,129044.08973121665
589,355273.4030880945
590,481336.1180020466
591,549732.2653686621
592,684012.7899261444
593,243467.48510893705
594,490165.8010067045
595,440564.3369290392
596,746955.7988030466
597,430996.07101398415
598,1190006.6328778581
599,1271335.5020574408
600,604528.0113552317
601,977855.0355333923
602,989344.1264416162
603,73552.52543796845
604,310593.62591561966
605,369371.8252107785
606,564813.7711083809
607,862831.1283287617
608,290923.1353700685
609,478851.51791391073
610,565606.1787093042
611,264952.3485463352
612,444723.5026035847
613,760004.6784421192
614,681368.6268162814
615,314038.1686517285
616,147893.42086061987
617,883619.8296039087
618,233456.48979616657
619,610791.8217947605
620,317808.2131639218
621,345711.5720991379
622,1147254.6901544484
623,183791.14801249982
624,1729904.3999997352
625,525886.8496497541
626,650641.2100886996
627,907417.0909201162
628,836395.7876742929
629,767367.7942518812
630,1229640.070787111
631,459936.7593984514
632,375252.79880056
633,514534.5705396936
634,764581.1207192843
635,237758.98901273296
636,782280.2513912794
637,561989.5970218916
638,379963.1489783275
639,343352.9999882766
640,145227.8628545135
641,396891.95862283366
642,290677.8388322691
643,461516.0941188222
644,671390.3356214021
645,537991.291365261
646,235801.34055101167
647,381143.79634821654
648,150479.98321081832
649,247100.64746413694
650,707767.9395014694
651,941656.1822457708
652,901737.7262399164
653,568415.888052821
654,307975.3557352728
655,587168.955769439
656,435851.1031054207
657,1263987.8535911005
658,719345.9967669802
659,679613.6861649529
660,571381.3424738009
661,1087403.1582698843
662,794423.4146837875
663,156540.9607161053
664,803520.9703888253
665,605847.6698831276
666,1812488.1494809866
667,374264.72799825174
668,555768.5287733327
669,911153.4609066078
670,194984.45975071567
671,960133.0471346013
672,396054.74839391443
673,493431.01592271554
674,427596.9002094144
675,432991.84134517075
676,527402.1724868158
677,889234.8710110318
678,255047.47590838047
679,674335.3482256586
680,284608.9643186214
681,555383.9826919805
682,1337986.970845107
683,261196.3390262888
684,603714.3204551713
685,223100.13656543187
686,226848.74018128894
687,600421.8018475252
688,728732.0667850361
689,695365.449014567
690,200721.0390840148
691,1075493.0094583055
692,657353.0840398376
693,254496.08283659775
694,859329.6360756509
695,403370.62529242487
696,816867.7552572564
697,587694.7881993201
698,479682.54324035294
699,425342.52757909306
700,710416.6115692204
701,384503.58698942844
702,275703.4808561026
703,769028.2710088999
704,615883.7558166718
705,341239.7526475055
706,154410.80235769597
707,953758.2654047648
708,1397557.097054899
709,1577906.852283087
710,410225.30047477654
711,238177.4400303606
712,984521.7873766321
713,453378.1691289076
714,622968.9946543877
715,546974.3279404214
716,535953.8611853413
717,236735.24579349151
718,1008278.3229340423
719,309076.70366592845
720,1156446.5397773199
721,1022201.4225756499
722,359620.03776654525
723,727988.4147259769
724,243017.74768209088
725,1251177.0679984912
726,569677.7700862644
727,856460.8377885692
728,191308.2263917125
729,672779.8439125407
730,810498.1925756569
731,129189.14108840155
732,830946.9861736157
733,721033.32245536
734,687039.5171308934
735,235036.07623676918
736,387880.83826407994
737,859876.1007040045
738,481439.8064161436
739,409690.0531144882
740,640393.2733907698
741,344080.86872295383
742,476272.88299322815
743,582313.6766733854
744,184102.0566057577
745,929884.2065116339
746,444353.465913182
747,1742590.5703301576
748,1031835.7992643022
749,390692.52271893946
750,309772.82284210966
751,493258.6797798266
752,643292.5434709024
753,1007687.4778678488
754,730626.6131900109
755,900058.7844637613
756,969069.3125692233
757,321614.1564908496
758,1033622.3072609245
759,273838.4446442033
760,571045.251423998
761,510008.22452853015
762,456270.43397453503
763,357497.6108650021
764,811197.2921757513
765,345344.6965596197
766,593008.1675131827
767,554955.1485760404
768,463326.53761916433
769,778052.6623662243
770,431864.0922354374
771,765932.0026258172
772,446549.3107159183
773,324150.9059396085
774,958455.5427078541
775,632968.435885397
776,872546.3040687651
777,1401167.8968614405
778,877859.9155306995
779,118072.68569921081
780,254219.5182235198
781,617566.3335774686
782,597631.5286353064
783,630752.0725235443
784,866634.3628352757
785,474114.04263972427
786,927226.8734549261
787,183807.32137090783
788,207360.83413992953
789,301127.14325000695
790,283916.783509791
791,441825.998239808
792,791180.901959945
793,386170.4436602571
794,732415.2064968897
795,1157073.183354398
796,492822.7475868086
797,641953.1029059887
798,500411.24523296976
799,625619.4776182924
800,565059.8617024566
801,390149.9464974819
802,559805.8763061737
803,930489.6779566471
804,323887.96972243517
805,447251.82028924295
806,255743.4214450513
807,197390.97312424047
808,325810.7244067194
809,288136.9869833461
810,1146089.586844237
811,890454.2375551057
812,353320.2064524458
813,421171.98015229055
814,582848.1038010983
815,701863.1302125019
816,1161632.747091244
817,219491.19291968242
818,527691.3555184018
819,479152.3692024539
820,1015666.7064376959
821,929150.9799044688
822,429742.97301753843
823,488009.6911093835
824,382848.08658224525
825,586186.9360461702
826,754541.3478211932
827,709165.8182733335
828,616695.2387232239
829,770422.9303777074
830,987526.0132089031
831,589032.954541543
832,529700.3768699747
833,1364700.4022649373
834,381050.9434434827
835,565539.792416348
836,660981.0934876425
837,927310.0331948528
838,436718.2913859222
839,813361.2846975795
840,619367.2383683482
841,302753.0920812145
842,545224.669144556
843,695621.2551527509
844,533395.2124532829
845,315341.49010523246
846,1967078.0575128235
847,595499.8735768383
848,561589.1359832216
849,177716.76644597852
850,220110.80388703954
851,521952.1602687214
852,610329.065813774
853,366688.81714611076
854,642390.7311151391
855,1337193.709689125
856,1341449.2045249268
857,451774.90579451685
858,451997.37266997667
859,1029045.9203638289
860,895894.2875554583
861,473996.32516794297
862,168757.83976077093
863,951401.7692851793
864,666344.3221418228
865,309751.52785256313
866,581213.6931342342
867,284408.34694031416
868,236603.3935804316
869,646478.9406558926
870,302342.5360851986
871,957468.6379838118
872,559619.5816886855
873,846066.0926134306
874,260582.26086943602
875,278450.68223397987
876,480888.5977740328
877,318691.88427681866
878,1065725.11062177
879,306614.1051496837
880,525458.5429335384
881,316757.148475981
882,827094.1017709428
883,1013657.7635126892
884,306254.709893515
885,938138.125545566
886,368611.6979241304
887,853278.8763864404
888,662074.6292289981
889,416957.42230557586
890,379992.7637836881
891,268230.82319984824
892,367193.5079675805
893,356179.93305496173
894,189527.12042515018
895,268954.30229905475
896,538902.4216043445
897,649040.3320808007
898,787938.1071764759
899,271693.21413839975
900,834213.2368980024
901,878045.2295080819
902,530777.198633942
903,328044.7799908069
904,480706.71029363107
905,913102.3048217194
906,451302.4108450291
907,728885.1439694958
908,329418.9212303341
909,766909.1452707078
910,482835.7020899267
911,227656.10389688815
912,335891.9281926694
913,176898.04036941717
914,1174918.8367747641
915,515846.89933451696
916,356502.48439852253
917,527686.8464120192
918,377800.2615279841
919,686966.5696687826
920,477653.0973915548
921,499942.04219829995
922,413427.098822077
923,422215.504284387
924,884002.082201502
925,335180.95009311783
926,88198.36041504059
927,445684.0574213969
928,1372220.352009914
929,204579.41410531825
930,932234.4272285589
931,342544.8927467663
932,1471274.411216471
933,496536.18531564815
934,1078895.7684730468
935,545126.6071242056
936,411514.0171109492
937,471883.30601127597
938,163645.69438678227
939,498855.61878905393
940,286210.7034455608
941,538759.8635661019
942,904330.402546549
943,1305576.0441328054
944,1199269.2645148267
945,446758.9036741396
946,244785.31004034544
947,197150.66335313136
948,359025.2354145673
949,1344257.2982621104
950,603948.0467714882
951,664687.9033679862
952,164480.7330899733
953,215138.0375474825
954,682555.4797903518
955,218229.3768289532
956,424187.30065366335
957,89208.99718723874
958,706858.1907257156
959,559632.1500372805
960,711610.4908732958
961,228256.05180951822
962,596720.6674670004
963,534997.6209876796
964,616162.4338500067
965,667252.5544884844
966,358253.73685441713
967,136864.7407543094
968,408570.59061076096
969,157608.1001588404
970,1152581.3961151429
971,878596.8822722279
972,719558.2665940131
973,999836.0967290796
974,1314368.1174481919
975,410192.02280552755
976,1444955.825318378
977,587221.3218539986
978,568828.9819115628
979,516653.5309645091
980,259881.52083015442
981,999356.3489852262
982,674740.0100679279
983,139689.688389628
984,233630.65214098053
985,900560.4170286676
986,566393.3674973408
987,233883.9543025777
988,625353.9551758025
989,603231.8521149711
990,445600.5998180629
991,833309.4727641697
992,439869.9754861041
993,514341.02759419335
994,1012212.6159904152
995,677830.0982586603
996,546423.3100379137
997,820583.6631873372
998,709690.0130287944
999,159557.7688497128
1000,391390.1550901022
1001,1357739.7630393605
1002,627353.9822999388
1003,865662.8668201062
1004,537802.4289908884
1005,367156.4878175183
1006,462273.0170152885
1007,945996.8513442829
1008,303025.95522293396
1009,818628.4396368722
1010,473097.5915827438
1011,1393662.094786899
1012,304537.0259955929
1013,1065015.1410772381
1014,958994.5023923834
1015,256751.71313283296
1016,714758.5446414175
1017,517875.84647615725
1018,380873.26380834886
1019,444906.6808359516
1020,133805.09579325555
1021,397794.94543576194
1022,494043.3784349539
1023,362966.1306495657
1024,892481.0697201581
1025,235270.92985852444
1026,135119.59399956767
1027,472782.163352396
1028,450455.43037172285
1029,304445.36743665696
1030,277629.7632894621
1031,748782.0827425692
1032,571681.6332072602
1033,523690.43010659626
1034,373503.75474202057
1035,617525.953314008
1036,390716.0960685208
1037,393497.3538990622
1038,713948.6921320658
1039,152860.1124315724
1040,651493.5633670078
1041,184039.81095718368
1042,327736.90599799185
1043,687689.3577665524
1044,761703.2687560703
1045,324352.98825226736
1046,631015.2047601766
1047,240028.33306125214
1048,1244150.928582296
1049,778351.2625332513
1050,320189.63213602337
1051,769564.4616196969
1052,465305.9143696261
1053,613656.1620809764
1054,374375.0703232842
1055,654849.3789953103
1056,592336.4331911971
1057,591736.0260640751
1058,718736.7680602416
1059,704601.202581532
1060,760122.2316349364
1061,145564.6846508616
1062,751369.070727148
1063,974966.2245556833
1064,809286.7974846232
1065,429112.27131565585
1066,844349.8463417507
1067,273190.490601432
1068,1043152.9690565126
1069,383530.560573726
1070,686835.3106110935
1071,306029.79090901976
1072,688698.8580024422
1073,241782.83462332533
1074,474653.51969571755
1075,445974.2790171554
1076,381628.2850807381
1077,503395.21231652447
1078,961564.8263802745
1079,109713.46375202617
1080,747804.8942859857
1081,665511.2850508598
1082,698458.8814390907
1083,228293.10651069877
1084,511247.0274092993
1085,353379.48550965067
1086,267088.77218253934
1087,627979.5578232172
1088,958196.3290264106
1089,840716.9069856837
1090,676620.2774058355
1091,205266.89035647755
1092,643923.3055340436
1093,433880.4497826797
1094,351726.8785515321
1095,747766.0800339363
1096,993788.722881869
1097,850076.7204660564
1098,260431.2346124278
1099,575878.0629870001
1100,887445.5275102141
1101,657634.7633898811
1102,271563.35405855504
1103,362909.93552059645
1104,1093653.3124818204
1105,168252.0550661962
1106,812330.6987579019
1107,191717.7589714408
1108,478903.8687269798
1109,687805.0800156395
1110,598341.1690258643
1111,1152370.560076967
1112,1648777.9156950084
1113,1015367.5014036673
1114,452917.3340754819
1115,550608.7195612503
1116,813364.7656010354
1117,217620.4450513446
1118,579814.965585479
1119,314083.6908411595
1120,644161.3945609451
1121,594794.6711873496
1122,997486.6737016906
1123,582327.9050003071
1124,1093571.9911650356
1125,839932.7890429806
1126,569852.4829668173
1127,541289.8419957885
1128,311290.4887478842
1129,394070.12213034934
1130,810326.0281527061
1131,223402.5832386858
1132,611756.3369787529
1133,545146.1118389633
1134,306287.2111423529
1135,1091588.0556322765
1136,758239.3328266261
1137,571581.3145460197
1138,851442.5476290435
1139,489310.44393000036
1140,108803.15115744396
1141,809345.999770135
1142,983149.0809907103
1143,916063.4583292468
1144,562718.8641148296
1145,1209991.3377215215
1146,103090.70015189631
1147,322561.6462477658
1148,1116782.3360753711
1149,413640.1499628354
1150,1171942.5934951773
1151,403156.4285356852
1152,158452.05925321925
1153,198243.73541357496
1154,475695.26060984173
1155,490492.13906729576
1156,347847.5696777885
1157,363480.9869631511
1158,334817.61804380204
1159,937679.1252518351
1160,144728.1190180542
1161,348302.0416466539
1162,618306.6850916763
1163,835364.4268786366
1164,701719.2364597586
1165,909556.9769033245
1166,409422.10710680904
1167,675352.3901023832
1168,708814.1495724113
1169,722721.7470380933
1170,465134.2111893833
1171,338085.9776980124
1172,800328.7302463908
1173,473473.1512442976
1174,1118497.5377623576
1175,257973.4604856182
1176,371997.20924760244
1177,912475.1652216006
1178,440684.88483846525
1179,287797.0696496184
1180,499515.0764953184
1181,1246938.5466945022
1182,1473515.5375644877
1183,172331.92313701817
1184,294359.86972611095
1185,771882.9045295552
1186,153288.82108636093
1187,477487.07337190694
1188,926307.2930412978
1189,1139834.5784197722
1190,585975.0969894206
1191,680788.1648405476
1192,130397.3669877262
1193,593698.5952021251
1194,231965.64174247737
1195,456148.029982623
1196,257843.92499923505
1197,829051.4295268311
1198,1153395.583825991
1199,508487.16927572514
1200,1080513.8114515676
1201,1088157.060565766
1202,490729.3903556707
1203,557085.6454871573
1204,382927.6773527819
1205,688113.7794203518
1206,238500.2598778713
1207,462378.6394735248
1208,353584.30248027225
1209,369328.31599126564
1210,544685.5068909938
1211,696891.5299236916
1212,352872.59122029354
1213,1592586.8055073542
1214,924108.5577907502
1215,310378.93960171303
1216,788850.5441169546
1217,493033.5674883822
1218,744798.2589609525
1219,281828.4655483725
1220,776787.2953621463
1221,847925.220610203
1222,382704.9056971799
1223,371651.9309464464
1224,653372.2807313382
1225,204903.50009097744
1226,242431.55059744892
1227,665681.8871871186
1228,534903.5734996365
1229,428207.5107416906
1230,1108827.6167765548
1231,291090.7166097037
1232,394764.48870162416
1233,452026.8346167012
1234,194437.37083796618
1235,379592.71840471606
1236,657084.4131406788
1237,633278.4236275041
1238,483651.3221046341
1239,284727.1778947911
1240,473899.35963280225
1241,1036241.5284266844
1242,279173.26961130655
1243,295531.0079819551
1244,640575.9782977166
1245,353344.4227581525
1246,233267.2800142583
1247,1541544.2518380824
1248,811937.6671575762
1249,653050.5577759368
1250,465337.90514335205
1251,245046.55117467098
1252,339265.24561611
1253,974727.2943631046
1254,301851.2005198467
1255,366075.6998909105
1256,578696.7327926772
1257,1012738.7278783426
1258,743817.7770909481
1259,380429.8805915965
1260,588103.6987530538
1261,396014.8933440871
1262,789896.4295584995
1263,713050.0233341997
1264,535806.196495122
1265,149884.24255106685
1266,1550119.1965702032
1267,620759.9857371434
1268,1085447.9193174536
1269,923367.5251428745
1270,203365.8256059987
1271,592749.6705655671
1272,272047.35240129736
1273,478044.25656251854
1274,796780.5608065586
1275,316245.9219901777
1276,672731.263190491
1277,251771.26068887426
1278,535094.5451962337
1279,1337399.637378656
1280,315222.4265197528
1281,1818398.9813412721
1282,328066.0412223423
1283,280547.7153042932
1284,469639.9292899617
1285,1121147.3165445707
1286,894386.6743525391
1287,629659.6262013317
1288,549967.7500445868
1289,341288.7554126446
1290,429238.22686312074
1291,571467.2075580533
1292,665973.8584718104
1293,414953.22709048446
1294,439287.9182157439
1295,593209.7034644509
1296,427493.7308297356
1297,224653.43420045698
1298,291327.0481501041
1299,289719.34810361295
1300,976844.6493481568
1301,887544.9671862
1302,1172153.4340379653
1303,846705.8847103625
1304,600538.1723289738
1305,482903.71605575125
1306,581200.2243138177
1307,1408683.3491147675
1308,204385.20542730982
1309,362705.20995970425
1310,776351.9147925305
1311,694398.8271508444
1312,345603.9854601249
1313,1264496.4413374471
1314,1255190.9086161943
1315,213877.5294114094
1316,556457.881391423
1317,400831.5298832185
1318,535924.7852669668
1319,194834.29526660647
1320,291652.39600450324
1321,720796.816243369
1322,1251296.7305630387
1323,360848.5316807973
1324,462187.24260311056
1325,335141.0621762367
1326,1072715.203195516
1327,369847.97717972886
1328,239560.1628000195
1329,862282.205205329
1330,657832.0771070941
1331,369757.17780113075
1332,1583568.5740852687
1333,878062.5113991724
1334,262232.65521841
1335,1013701.0443551526
1336,649944.5434356494
1337,309368.0599358481
1338,1194523.9824472745
1339,443056.97192098666
1340,206696.5501746257
1341,578877.0880430641
1342,496753.2191623289
1343,1038884.9200860086
1344,1083942.988207338
1345,245595.5422701054
1346,154670.67180488017
1347,498305.3142067285
1348,435819.0787399427
1349,1019359.6787976976
1350,551003.6653764815
1351,554535.1001862754
1352,318158.47917025536
1353,353203.6610633616
1354,1066990.9983903493
